 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | JES flavour composition |    NA    | 0.0075636 / -0.0075659 | 0.0076668 / -0.00766915 | 0.0424097 / -0.0424778 | 0.0146008 / -0.0146092 | 0 / 0 | -0.00529307 / 0.00529196 | 0.0061157 / -0.00611714 | 0.0114105 / -0.0114156 | 0.0450153 / -0.0450918 | 0.0220342 / -0.0220531 | 0 / 0 | -0.0605101 / 0.0603525 |
 | JES #eta intercalibration modelling |    NA    | 0.0171886 / -0.0171931 | 0.011064 / -0.0110659 | 0.0285898 / -0.0286021 | 0.0159413 / -0.0159451 | 0 / 0 | 0 / 0 | 0.00570675 / -0.00570727 | 0.0283579 / -0.0283701 | 0.064578 / -0.0646398 | 0.0141933 / -0.0141963 | 0.31108 / -0.312331 | -0.0418192 / 0.0417918 |
 | b-tag Eigenvar. 0 |    NA    | -0.0143931 / 0.0143917 | -0.00912156 / 0.0091211 | -0.0107023 / 0.0107015 | -0.00642109 / 0.00642086 | -0.00700821 / 0.00700788 | -0.0061789 / 0.00617866 | -0.0113011 / 0.0113002 | -0.02496 / 0.0249558 | -0.0128318 / 0.0128307 | -0.00742111 / 0.0074208 | 0.0428203 / -0.0428319 | 0.00996818 / -0.00996884 |
 | Electron energy scale |    NA    | -0.136734 / 0.136601 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.241556 / 0.241149 |
 | Electron ID eff. |    NA    | 0.00971281 / -0.00971343 | 0.0138289 / -0.0138303 | 0.0131207 / -0.0131219 | 0 / 0 | 0.0127026 / -0.0127037 | 0.0137645 / -0.0137659 | 0.0116728 / -0.0116737 | 0.0105144 / -0.0105152 | 0.0117838 / -0.0117848 | 0.0122043 / -0.0122054 | 0.0150788 / -0.0150803 | 0.0144929 / -0.0144944 |
 | Electron isol. eff. (syst) |    NA    | 0.00733173 / -0.00733207 | 0.00806355 / -0.00806402 | 0.00880636 / -0.00880694 | 0 / 0 | 0.00777636 / -0.00777679 | 0.00864117 / -0.00864177 | 0.00790742 / -0.00790787 | 0.00711221 / -0.00711256 | 0.00743107 / -0.00743145 | 0.0075609 / -0.0075613 | 0.012016 / -0.012017 | 0.00802856 / -0.00802901 |
 | Muon isol. eff. (syst) |    NA    | 0.0119201 / -0.0119211 | 0.00981285 / -0.00981353 | 0.0119728 / -0.0119738 | 0 / 0 | 0.0103272 / -0.0103279 | 0.0121235 / -0.0121245 | 0.0112541 / -0.011255 | 0.0125862 / -0.0125873 | 0.0106822 / -0.0106829 | 0.0107952 / -0.0107961 | 0 / 0 | 0.0122318 / -0.0122328 |
 | Tau electron veto (tot.) |    NA    | 0.0101118 / -0.0101125 | 0.0111777 / -0.0111785 | 0 / 0 | 0 / 0 | 0.0093074 / -0.00930799 | 0.0112892 / -0.01129 | 0.00890689 / -0.00890745 | 0 / 0 | 0 / 0 | 0.00938385 / -0.00938445 | 0 / 0 | 0.011674 / -0.011675 |
 | Tau reconstruction |    NA    | 0.00691972 / -0.00692009 | 0.00656501 / -0.00656532 | 0 / 0 | 0 / 0 | 0.00635599 / -0.00635621 | 0.00684726 / -0.00684755 | 0.00691387 / -0.00691415 | 0 / 0 | 0 / 0 | 0.00595968 / -0.00595993 | 0 / 0 | 0.00632083 / -0.00632102 |
 | Tau fake shape |    NA    | 0 / 0 | -0.014594 / 0.0145925 | -0.00708728 / 0.00708691 | 0 / 0 | -0.01758 / 0.0175777 | -0.0120033 / 0.0120022 | -0.0187738 / 0.0187711 | -0.020108 / 0.0201049 | -0.00701222 / 0.00701184 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq PS + had. |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER DataVsMC AFII |    NA    | 0.007811 / -0.00781145 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0171826 / 0.0171806 |
 | JER EffectiveNP 4 |    NA    | 0 / 0 | 0 / 2.22045e-16 | -0.0124617 / 0.0124514 | -0.0438304 / 0.0437002 | 0.0109812 / -0.0109891 | 0.00467049 / -0.00467192 | 0 / 0 | -0.0148347 / 0.01482 | 0.0171969 / -0.0172164 | 0 / 0 | -0.848889 / 0.767816 | -0.0335046 / 0.0334289 |
 | JER EffectiveNP 5 |    NA    | -0.0178889 / 0.0178537 | 0 / 0 | 0 / 0 | -0.0634797 / 0.0630512 | -0.0130279 / 0.0130092 | 0 / 0 | 0 / 0 | 0.022455 / -0.0225123 | 0.0671726 / -0.0677044 | 0.0114272 / -0.0114419 | 0.720237 / -0.821521 | 0.0243976 / -0.0244654 |
 | JER EffectiveNP 8 |    NA    | 0.00778462 / -0.00778532 | 0 / 0 | 0.00820661 / -0.00820748 | -0.0654696 / 0.0654228 | -0.0100492 / 0.010048 | 0 / 0 | 0 / 0 | 0.0259102 / -0.0259185 | 0.00878957 / -0.0087905 | -0.0119352 / 0.0119335 | -0.53708 / 0.535955 | -0.0111231 / 0.0111216 |
 | JER EffectiveNP 9 |    NA    | 0.0280726 / -0.0280833 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.0513829 / 0.0513392 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | -0.0242824 / 0.0242732 | -0.0234773 / 0.0234687 | -0.00852946 / 0.00852836 | 0.0347311 / -0.0347472 | -0.00673626 / 0.00673557 |
 | JES BJES Response |    NA    | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0183358 / -0.0183423 | 0.0207151 / -0.0207234 | 0 / 0 | 0 / 0 | -0.0057183 / 0.00571765 |
 | JES pileup offset #mu |    NA    | 0.0177351 / -0.0177417 | 0 / 2.22045e-16 | 0.021494 / -0.0215036 | 0.0156733 / -0.0156784 | -0.00559119 / 0.00559055 | 0 / 0 | -0.00499196 / 0.00499143 | 0.00772423 / -0.00772547 | 0.0379459 / -0.0379763 | -0.00776667 / 0.00776543 | 0.308729 / -0.311254 | -0.0156142 / 0.0156093 |
 | JES pileup #rho topology |    NA    | 0.00828688 / -0.00829036 | 0.00529156 / -0.00529301 | 0.0303674 / -0.0304147 | 0.0112426 / -0.0112491 | -0.0064067 / 0.00640459 | 0 / 0 | 0 / 0 | 0.0390494 / -0.0391277 | 0.0515656 / -0.0517022 | 0.0216607 / -0.0216847 | 0.329644 / -0.335455 | -0.0952049 / 0.0947432 |
 | JES flavour response |    NA    | 0.00618325 / -0.00618375 | 0 / 0 | -0.0215516 / 0.0215469 | -0.0114939 / 0.0114924 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | -0.018755 / 0.0187513 | -0.0199484 / 0.0199443 | -0.00688557 / 0.00688504 | -0.347809 / 0.348925 | 0.03377 / -0.0337854 |
 | JES #eta intercalibration total stat |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0199117 / -0.0199144 | 0.0194462 / -0.0194487 | 0 / 0 | 0 / 0 | -0.0104091 / 0.0104084 |
 | JES effective NP modelling 1 |    NA    | -0.0132153 / 0.0132141 | 0 / 0 | 0.0139967 / -0.0139981 | 0.0125083 / -0.0125095 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0321519 / -0.0321594 | 0.029771 / -0.0297774 | 0.0083689 / -0.00836942 | 0.0336765 / -0.0336846 | -0.047399 / 0.0473835 |
 | JES effective NP stat. 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0100956 / 0.0100949 | -0.0119023 / 0.0119013 | 0 / 0 | 0 / 0 | 0.00983931 / -0.00983996 |
 | Muon energy resolution (ID) |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00748331 / 0.00748293 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (insitu fit) |    NA    | 0 / 0 | 0.00508038 / -0.00508057 | 0 / 0 | 0.00939946 / -0.00940001 | 0.00791832 / -0.00791875 | 0 / 0 | 0.0141074 / -0.0141088 | 0 / 0 | 0 / 0 | 0.00610094 / -0.0061012 | 0 / 0 | 0.0125308 / -0.0125319 |
 | Tau energy scale (model closure) |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0.00604901 / -0.00604921 | 0 / 0 | 0 / 0 | 0.00622372 / -0.00622401 | 0 / 0 | 0 / 0 | 0.00760872 / -0.00760912 | 0 / 0 | 0.0147692 / -0.0147707 |
 | MET soft scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00632372 / -0.00632431 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MET soft reso (parp.) |    NA    | -0.0185019 / 0.0184982 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.00826517 / 0.0082644 | 0 / 0 | -0.015206 / 0.0152035 |
 | tHq #mu_{F} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
