 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | light-tag Eigenvar. 0 |    NA    | -0.0072569 / 0.0072569 | -0.0089766 / 0.00897663 | -0.00993253 / 0.00993245 | -0.00693936 / 0.00693937 | -0.00918384 / 0.00918381 | -0.00843354 / 0.00843351 | 0 / 0 | -0.0103823 / 0.0103823 | -0.0281134 / 0.0281134 | -0.0213868 / 0.0213868 | 0 / 0 | -0.00989647 / 0.00989648 |
 | Electron energy scale |    NA    | 0.497914 / -0.497914 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.499947 / -0.499947 |
 | Electron ID eff. |    NA    | 0.0115988 / -0.0115988 | 0.00925815 / -0.00925813 | 0.00907073 / -0.0090707 | 0 / 0 | 0.00927439 / -0.00927442 | 0.00921618 / -0.00921621 | 0.00817527 / -0.00817529 | 0.00767392 / -0.00767392 | 0.00776173 / -0.00776173 | 0.0085248 / -0.00852485 | 0.011972 / -0.0119721 | 0.0108919 / -0.0108919 |
 | Electron isol. eff. (syst) |    NA    | 0.0077887 / -0.00778863 | 0.00695123 / -0.00695129 | 0.00831607 / -0.00831604 | 0 / 0 | 0.00699927 / -0.0069993 | 0.00763674 / -0.00763677 | 0.0069718 / -0.00697174 | 0.00761381 / -0.00761381 | 0.00646313 / -0.00646312 | 0.00704112 / -0.00704117 | 0.011171 / -0.011171 | 0.00741446 / -0.00741445 |
 | Muon isol. eff. (syst) |    NA    | 0.00632436 / -0.00632436 | 0.00766835 / -0.00766833 | 0.0094626 / -0.00946258 | 0 / 0 | 0.0069762 / -0.00697623 | 0.00768394 / -0.00768398 | 0.00803456 / -0.00803458 | 0.00888634 / -0.00888634 | 0.0102873 / -0.0102873 | 0.00895742 / -0.00895748 | 0 / 0 | 0.00627949 / -0.00627947 |
 | Tau electron veto (tot.) |    NA    | 0.00791447 / -0.00791448 | 0.00800618 / -0.00800615 | 0 / 0 | 0 / 0 | 0.00714209 / -0.00714212 | 0.00797008 / -0.00797005 | 0.00872121 / -0.00872123 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00907399 / -0.00907408 |
 | Tau reconstruction |    NA    | 0.00629378 / -0.00629378 | 0.0057791 / -0.00577916 | 0 / 0 | 0 / 0 | 0.00569519 / -0.00569522 | 0.0059202 / -0.00592024 | 0.00716948 / -0.0071695 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00619938 / -0.00619937 |
 | tHq PS + had. |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq #mu_{F} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Forward Jet-Vertex-Tagger (fJVT) |    NA    | 0.00611008 / -0.00611009 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0052065 / -0.0052065 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER DataVsMC AFII |    NA    | -0.0346972 / 0.0346971 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0158612 / 0.0158613 |
 | JER EffectiveNP 8 |    NA    | 0.0199148 / -0.0199148 | 0 / 0 | 0.00550723 / -0.0055072 | -0.0500599 / 0.05006 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00906503 / -0.00906502 | 0 / 0 | 0 / 0 | -0.00844633 / 0.00858367 |
 | JER EffectiveNP 9 |    NA    | -0.0299055 / 0.0299055 | 0 / 0 | 0 / 0 | -0.0546731 / 0.054673 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00863035 / 0.00863035 | -0.00989735 / 0.00989735 | 0 / 0 | 0.0676169 / -0.0676169 | 0.0115075 / -0.0115075 |
 | JER EffectiveNP 1 |    NA    | 0.0171681 / -0.0171681 | 0 / 0 | 0 / 0 | -0.0592229 / 0.0592229 | 0 / 0 | 0 / 2.22045e-16 | 0 / -1.11022e-16 | 0.0132559 / -0.0132559 | 0.0072283 / -0.0072283 | 0 / 0 | -0.0657349 / 0.0657348 | 0.00944503 / -0.00944501 |
 | JER EffectiveNP 1 |    NA    | 0.0128388 / -0.0128388 | 0 / 0 | 0 / 0 | -0.064308 / 0.0643081 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | -0.0113283 / 0.0113283 | -0.00836392 / 0.00836393 | 0 / 0 | 0.0643485 / -0.0643485 | -0.00529357 / 0.00529359 |
 | JES pileup offset NPV |    NA    | -0.0241086 / 0.0241086 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0066665 / 0.00666658 | -0.00877673 / 0.00877676 | 0 / 0 | 0.0133458 / -0.0133458 | 0.0240226 / -0.0240226 | 0.00678196 / -0.00678202 | -0.062467 / 0.062467 | -0.0113018 / 0.0113017 |
 | JES pileup pT term |    NA    | 0.00973023 / -0.00973024 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0.00814316 / -0.00814316 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES effective NP modelling 1 |    NA    | 0.00530062 / -0.00530062 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00534704 / 0.00534701 | -0.009962 / 0.00996203 | 0 / 2.22045e-16 | 0.0128514 / -0.0128514 | 0.0192076 / -0.0192076 | 0.00758556 / -0.0075855 | 0.0683409 / -0.068341 | 0 / 0 |
 | c-tag Eigenvar. 0 |    NA    | -0.00794582 / 0.00794582 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0250146 / 0.0250146 | -0.0344153 / 0.0344152 | -0.0186706 / 0.0186706 | 0 / 0 |
 | c-tag Eigenvar. 17 |    NA    | 0.00595059 / -0.00595059 | 0.00553526 / -0.00553523 | 0 / 0 | 0 / 0 | 0.00563175 / -0.00563178 | 0.00584575 / -0.00584579 | 0.00513471 / -0.00513465 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00512534 / -0.00512532 |
 | Electron energy resolution |    NA    | -0.0118311 / 0.0118311 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon energy resolution (ID) |    NA    | -0.0111188 / 0.0111188 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00623106 / 0.00623106 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (detector) |    NA    | 0.0074754 / -0.0074754 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (insitu exp.) |    NA    | 0.00702296 / -0.00702296 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (model closure) |    NA    | 0.00810577 / -0.00810578 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (physicslist) |    NA    | 0.00810577 / -0.00810578 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau fake shape |    NA    | -0.0215716 / 0.0215716 | -0.0166688 / 0.0166688 | -0.00644511 / 0.00644513 | 0 / 0 | -0.0179793 / 0.0179794 | -0.0125944 / 0.0125944 | -0.0214952 / 0.0214951 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00868724 / -0.00868727 | -0.0125627 / 0.0125627 |
 | Tau fake norm. |    NA    | 0.156119 / -0.156119 | 0.107182 / -0.107182 | 0 / 0 | 0 / 0 | 0.0940997 / -0.0940997 | 0.200722 / -0.200722 | 0.111678 / -0.111678 | 0.0344341 / -0.0344341 | 0 / 0 | 0.0486476 / -0.0486475 | 0.0702555 / -0.0702556 | 0.194558 / -0.194558 |
 | MET soft reso (para.) |    NA    | -0.00821027 / 0.00821027 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00881663 / 0.00881663 | -0.00512423 / 0.00512423 | 0 / 0 | 0 / 0 | 0.00925265 / -0.00925265 |
 | MET soft reso (parp.) |    NA    | -0.00978517 / 0.00978517 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00589422 / -0.00589422 |
 | tWH XS |    NA    | 0.091 / -0.092 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH PS + had. |    NA    | -0.144579 / 0.144579 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH #mu_{R} scale |    NA    | 0.00613574 / -0.00613575 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH #mu_{F} scale |    NA    | 0.0202279 / -0.0202279 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH #mu_{R} scale |    NA    | 0.0262937 / -0.0262937 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES #eta intercalibration modelling |    NA    | 0 / 0 | -0.00667658 / 0.0066766 | 0 / 0 | 0 / 0 | -0.00989502 / 0.0098951 | -0.0154668 / 0.0154668 | 2.22045e-16 / 0 | 0 / 0 | 0.02509 / -0.02509 | 0.00659855 / -0.0065985 | 0.0695397 / -0.0695397 | -0.0248553 / 0.0248553 |
